     KinEnergy     PotEnergy     TotEnergy   Dissipation   wshearUpper     wallshear        L2(u')         L2(u)           e3d           ecf         ubulk         wbulk        L2(T')         L2(T)          <T>a      heatflux          Nu_t        L2(S')         L2(S)          <S>a      massflux          Nu_c     buoyPowIn
   0.000665248     0.0402721     0.0409373    0.00264943      0.499427      0.998854      0.036476       0.29166     0.0364448   0.000615545    1.0575e-14             0     0.0897464       0.24385      0.179692       1.43982       1.42978      0.114119      0.224367      0.153472       1.66939       1.66809   0.000505933
   0.000665374     0.0401808     0.0408461    0.00264917      0.499444      0.998888     0.0364794      0.291649     0.0364491   0.000615229  -1.03234e-13             0     0.0896446      0.243952      0.179829       1.43881       1.43893      0.114086      0.224383        0.1535       1.66929       1.68436   0.000508523
   0.000665245     0.0401746     0.0408398    0.00264915      0.499443      0.998886     0.0364759      0.291649     0.0364456   0.000615106   7.23404e-15             0     0.0896377      0.243954      0.179834       1.43879       1.43879      0.114083      0.224389      0.153504       1.66906       1.67994    0.00050846
   0.000665246     0.0401746     0.0408398    0.00264915      0.499443      0.998886     0.0364759      0.291649     0.0364456   0.000615107             0             0     0.0896377      0.243954      0.179834       1.43879       1.43879      0.114083      0.224389      0.153504       1.66906       1.67996    0.00050846
   0.000665246     0.0401746     0.0408398    0.00264915      0.499443      0.998886     0.0364759      0.291649     0.0364456   0.000615107             0             0     0.0896377      0.243954      0.179834       1.43879       1.43879      0.114083      0.224389      0.153504       1.66906       1.67996    0.00050846
   0.000665246     0.0401746     0.0408398    0.00264915      0.499443      0.998886     0.0364759      0.291649     0.0364456   0.000615107             0             0     0.0896377      0.243954      0.179834       1.43879       1.43879      0.114083      0.224389      0.153504       1.66906       1.67996    0.00050846
   0.000658813     0.0397987     0.0404575    0.00264762      0.499365      0.998729     0.0362991      0.291642     0.0362679   0.000608127  -1.41017e-12             0     0.0892173       0.24421       0.18022       1.43561       1.43549      0.113993      0.224439      0.153558       1.66849       1.66817   0.000504663
   0.000658723     0.0397925     0.0404512     0.0026476      0.499364      0.998728     0.0362966      0.291642     0.0362654   0.000608022   1.37938e-15             0     0.0892104      0.244214      0.180227       1.43555       1.43555      0.113988       0.22445      0.153564       1.66804       1.66808    0.00050461
   0.000658723     0.0397925     0.0404512     0.0026476      0.499364      0.998728     0.0362966      0.291642     0.0362654   0.000608022             0             0     0.0892104      0.244214      0.180227       1.43555       1.43555      0.113988       0.22445      0.153564       1.66804       1.66804    0.00050461
   0.000658723     0.0397925     0.0404512     0.0026476      0.499364      0.998728     0.0362966      0.291642     0.0362654   0.000608022             0             0     0.0892104      0.244214      0.180227       1.43555       1.43555      0.113988       0.22445      0.153564       1.66804       1.66804    0.00050461
