-4.999634590700494097e-01, -4.999315715791465831e-01, -4.998996840882447001e-01
-4.998538387259705007e-01, -4.997262908963884254e-01, -4.995987430668035745e-01
-4.996711463049731683e-01, -4.993841717013517423e-01, -4.990971970977268191e-01
-4.994153940353527332e-01, -4.989052369041791501e-01, -4.983950797730050675e-01
-4.990865990359342752e-01, -4.982895186222337514e-01, -4.974924382085368912e-01
-4.986847833152184828e-01, -4.975370581017448668e-01, -4.963893328882675871e-01
-4.982099737702885278e-01, -4.966479058039504069e-01, -4.950858378376175040e-01
-4.976622021854003597e-01, -4.956221211639784130e-01, -4.935820401425563553e-01
-4.970415052303457926e-01, -4.944597727069735549e-01, -4.918780401836020388e-01
-4.963479244585842221e-01, -4.931609375614276480e-01, -4.899739506642704079e-01
-4.955815063052778635e-01, -4.917257016299042549e-01, -4.878698969545320341e-01
-4.947423020854962439e-01, -4.901541588340574962e-01, -4.855660155826189150e-01
-4.938303679928878198e-01, -4.884464114387584988e-01, -4.830624548846292887e-01
-4.928457650994096384e-01, -4.866025690769593126e-01, -4.803593730545087093e-01
-4.917885593569149005e-01, -4.846227493797267138e-01, -4.774569394025367508e-01
-4.906588216017264137e-01, -4.825070768382314079e-01, -4.743553320747387336e-01
-4.894566275637446950e-01, -4.802556838674931217e-01, -4.710547401712388838e-01
-4.881820578822030354e-01, -4.778687094850454509e-01, -4.675553610878859234e-01
-4.868351981307236231e-01, -4.753463008490498298e-01, -4.638574035673778129e-01
-4.854161388552366563e-01, -4.726886116207817401e-01, -4.599610843863249920e-01
-4.839249756291171267e-01, -4.698958039304749756e-01, -4.558666322318334352e-01
-4.823618091311097644e-01, -4.669680462005916799e-01, -4.515742832700710974e-01
-4.807267452528157237e-01, -4.639055154318376673e-01, -4.470842856108599994e-01
-4.790198952440221647e-01, -4.607083942035152813e-01, -4.423968931630056223e-01
-4.772413759059545568e-01, -4.573768731273189503e-01, -4.375123703486782922e-01
-4.753913098443708907e-01, -4.539111467113843834e-01, -4.324309835783971545e-01
-4.734698257968507074e-01, -4.503114158155781532e-01, -4.271530058343074310e-01
-4.714770590510583004e-01, -4.465778820978305585e-01, -4.216787051446028167e-01
-4.694131519737936298e-01, -4.427107503493653007e-01, -4.160083487249363055e-01
-4.672782546738275533e-01, -4.387102213421532060e-01, -4.101421880104791917e-01
-4.650725258253979311e-01, -4.345764940102089802e-01, -4.040804621950213060e-01
-4.627961336832319139e-01, -4.303097566583097278e-01, -3.978233796333858763e-01
-4.604492573248105125e-01, -4.259101891009965390e-01, -3.913711208771882832e-01
-4.580320881606531613e-01, -4.213779524904890383e-01, -3.847238168203255815e-01
-4.555448317593129848e-01, -4.167131920289269820e-01, -3.778815522985395359e-01
-4.529877100399898882e-01, -4.119160266561009975e-01, -3.708443432722114963e-01
-4.503609638927223435e-01, -4.069865545773000415e-01, -3.636121452618777394e-01
-4.476648562935625630e-01, -4.019248466477947090e-01, -3.561848370020272991e-01
-4.448996759900873954e-01, -3.967309606886349482e-01, -3.485622453871839999e-01
-4.420657418409600914e-01, -3.914049473686014857e-01, -3.407441528962414368e-01
-4.391634079016987768e-01, -3.859468851329596051e-01, -3.327303623642179908e-01
-4.361930693571770545e-01, -3.803569133111681100e-01, -3.245207572651599981e-01
-4.331551694091412275e-01, -3.746353035783311913e-01, -3.161154377475216548e-01
-4.300502072338062143e-01, -3.687825339243708256e-01, -3.075148606149359365e-01
-4.268787471294710478e-01, -3.627994008775037860e-01, -2.987200546255379674e-01
-4.236414289764680596e-01, -3.566871182290367592e-01, -2.897328074816048482e-01
-4.203389801303213935e-01, -3.504474174595085256e-01, -2.805558547886960463e-01
-4.169722288627013551e-01, -3.440825642016503427e-01, -2.711928995405979981e-01
-4.135421194519954824e-01, -3.375952718976329425e-01, -2.616484243432691814e-01
-4.100497290047805943e-01, -3.309884026854104100e-01, -2.519270763660396706e-01
-4.064962860591423421e-01, -3.242644636451079143e-01, -2.420326412310728204e-01
-4.028831909793768595e-01, -3.174249199644247343e-01, -2.319666489494736084e-01
-3.992120380972844496e-01, -3.104696484294474645e-01, -2.217272587616093416e-01
-3.954846394869286352e-01, -3.033971001679622304e-01, -2.113095608489937716e-01
