    #(t)     KinEnergy     PotEnergy     TotEnergy   Dissipation   wshearUpper     wallshear        L2(u')         L2(u)           e3d           ecf         ubulk         wbulk        L2(T')         L2(T)          <T>a      heatflux          Nu_t        L2(S')         L2(S)          <S>a      massflux          Nu_c     buoyPowIn
       0         5e-07        0.1125        0.1125     0.0222078      0.525319       1.03497         0.001      0.288678   0.000379958   6.66897e-07   0.000493145   0.000493902          0.15      0.195728      0.116314       2.33286     -0.332865          0.15      0.195728      0.116314       2.33286     -0.332865  -1.33421e-07
 1.05263   2.75544e-07        0.1045        0.1045      0.020374      0.498257       0.99992   0.000742353      0.288676   0.000314775    3.1048e-07   0.000400594   0.000405369      0.144568      0.197876      0.121156       2.28457     -0.284598      0.149945       0.19575      0.116364       2.33213     -0.332376  -7.94801e-12
       2    2.4892e-07     0.0971431     0.0971434      0.020374      0.498779      0.999947   0.000705578      0.288675   0.000314914   2.84407e-07   0.000361778   0.000368433      0.139387       0.20004      0.125774       2.23854     -0.238557       0.14989      0.195771      0.116413       2.33171     -0.331894  -7.97209e-12
 3.05263   2.26418e-07      0.089575     0.0895752      0.020374      0.499029      0.999956    0.00067293      0.288674   0.000315211   2.62353e-07   0.000328614   0.000337092      0.133847      0.202475      0.130711       2.18932     -0.189333      0.149829      0.195794      0.116467       2.33121     -0.331364   6.16766e-12
       4   2.09643e-07     0.0832691     0.0832693      0.020374      0.499161       0.99996   0.000647523      0.288674   0.000315533   2.45855e-07   0.000303391   0.000313394       0.12905      0.204681      0.134986       2.14669     -0.146705      0.149775      0.195815      0.116516       2.33074     -0.330892   3.42124e-11
 5.05263   1.93722e-07     0.0767818      0.076782      0.020374      0.499262      0.999962    0.00062245      0.288674   0.000315947   2.30129e-07   0.000278635   0.000290227      0.123921      0.207137      0.139557       2.10112     -0.101131      0.149714      0.195838       0.11657       2.33021     -0.330376   8.35614e-11
       6   1.81375e-07     0.0713766     0.0713768      0.020374      0.499331      0.999963   0.000602288      0.288674   0.000316401   2.17876e-07   0.000258502   0.000271433      0.119479      0.209342      0.143516       2.06166    -0.0616656      0.149659      0.195859      0.116619       2.32974     -0.329922   1.53285e-10
 7.05263   1.69534e-07     0.0658158      0.065816      0.020374      0.499394      0.999964   0.000582295      0.288674   0.000317049   2.06055e-07   0.000237998   0.000252324      0.114731      0.211777      0.147748       2.01946    -0.0194713      0.149598      0.195883      0.116673       2.32921     -0.329434   2.77192e-10
       8   1.60365e-07     0.0611825     0.0611827      0.020374      0.499441      0.999965    0.00056633      0.288674   0.000317832   1.96835e-07   0.000220952   0.000236452      0.110619      0.213948      0.151413       1.98293     0.0170679      0.149544      0.195904      0.116721       2.32873     -0.329018   4.53768e-10
 9.05263   1.51658e-07      0.056416     0.0564161      0.020374      0.499488      0.999965   0.000550742      0.288673   0.000319048   1.87996e-07   0.000203366   0.000220087      0.106222      0.216332      0.155331       1.94386     0.0561332      0.149483      0.195927      0.116775       2.32819     -0.328592   7.60869e-10
      10   1.45049e-07     0.0524444     0.0524446      0.020374      0.499527      0.999966   0.000538607      0.288673   0.000320608   1.81196e-07   0.000188632   0.000206379      0.102415      0.218447      0.158724       1.91003      0.089963      0.149429      0.195948      0.116824       2.32771     -0.328257   1.18898e-09
 11.0526   1.38996e-07     0.0483586     0.0483588      0.020374      0.499565      0.999966    0.00052725      0.288673   0.000323117   1.74844e-07   0.000173363   0.000192178     0.0983449      0.220758      0.162352       1.87387      0.126132      0.149368      0.195972      0.116878       2.32718     -0.327969   1.92347e-09
      12   1.34703e-07     0.0449543     0.0449544      0.020374      0.499598      0.999966   0.000519044      0.288673   0.000326398   1.70188e-07   0.000160535   0.000180248     0.0948201      0.222801      0.165493       1.84255      0.157454      0.149314      0.195993      0.116927        2.3267     -0.327821   2.94064e-09
 13.0526     1.313e-07      0.041452     0.0414522      0.020374      0.499631      0.999966   0.000512445      0.288673   0.000331755   1.66249e-07   0.000147221   0.000167867     0.0910517      0.225025      0.168852       1.80906      0.190942      0.149253      0.196016      0.116981       2.32616     -0.327849   4.69799e-09
      14   1.29656e-07     0.0385339     0.0385341      0.020374      0.499659      0.999966   0.000509228      0.288673   0.000338876   1.63964e-07   0.000136026   0.000157457     0.0877883      0.226984       0.17176       1.78006      0.219943      0.149199      0.196037      0.117029       2.32568     -0.328139   7.16819e-09
 15.0526   1.29839e-07     0.0355319      0.035532      0.020374      0.499688      0.999966   0.000509587      0.288673   0.000350667    1.6318e-07   0.000124401   0.000146647     0.0842994      0.229111       0.17487       1.74906      0.250952      0.149138      0.196061      0.117083       2.32514     -0.328923   1.15125e-08
      16   1.32486e-07     0.0330306     0.0330307      0.020374      0.499712      0.999967   0.000514754      0.288673   0.000366486   1.64617e-07   0.000114622   0.000137554      0.081278      0.230979      0.177562       1.72221       0.27781      0.149084      0.196082      0.117132       2.32466      -0.33028   1.77429e-08
 17.0526   1.39532e-07     0.0304574     0.0304575      0.020374      0.499737      0.999967   0.000528264      0.288673   0.000392712   1.69726e-07   0.000104466    0.00012811     0.0780479      0.233004      0.180441       1.69351      0.306533      0.149023      0.196105      0.117186       2.32413     -0.332952   2.89401e-08
      18    1.5157e-07     0.0283134     0.0283136      0.020374      0.499758      0.999967   0.000550582      0.288673   0.000427585   1.79179e-07   9.59226e-05   0.000120165     0.0752508      0.234779      0.182934       1.66865      0.331419      0.148969      0.196126      0.117234       2.32365     -0.337029   4.53526e-08
 19.0526   1.75229e-07     0.0261079     0.0261081      0.020374       0.49978      0.999967   0.000591994      0.288673   0.000484247    1.9843e-07   8.70486e-05   0.000111914     0.0722605      0.236699      0.185599       1.64208       0.35805      0.148908       0.19615      0.117289       2.32311     -0.344616   7.55142e-08
      20   2.11659e-07     0.0242705     0.0242707     0.0203741      0.499798      0.999967   0.000650629      0.288674   0.000557436   2.28627e-07   7.95833e-05   0.000104972     0.0696713      0.238379      0.187907       1.61907      0.381151      0.148854      0.196171      0.117337       2.32263     -0.355932   1.20684e-07
