     KinEnergy     PotEnergy     TotEnergy   Dissipation   wshearUpper     wallshear        L2(u')         L2(u)           e3d           ecf         ubulk         wbulk        L2(T')         L2(T)          <T>a      heatflux          Nu_t        L2(S')         L2(S)          <S>a      massflux          Nu_c     buoyPowIn
   0.000829982     0.0617478     0.0625778    0.00268779       0.49553      0.991061     0.0407427       0.29306     0.0406609   0.000590397             0             0      0.111129      0.232783      0.162027       1.60743       1.60739      0.138891      0.207592      0.131873       1.95243       1.95105   0.000703233
   0.000829987     0.0617476     0.0625776    0.00268779      0.495531      0.991061     0.0407428       0.29306      0.040661   0.000590398             0             0      0.111128      0.232783      0.162027       1.60743       1.60743      0.138891      0.207592      0.131873       1.95243       1.95111   0.000703249
   0.000829986     0.0617476     0.0625776    0.00268779      0.495531      0.991061     0.0407428       0.29306      0.040661   0.000590398             0             0      0.111128      0.232783      0.162027       1.60743       1.60743      0.138892      0.207592      0.131873       1.95243       1.95111   0.000703249
   0.000829986     0.0617476     0.0625776    0.00268779      0.495531      0.991061     0.0407428       0.29306      0.040661   0.000590398             0             0      0.111128      0.232783      0.162027       1.60743       1.60743      0.138892      0.207592      0.131873       1.95243       1.95111   0.000703249
   0.000829986     0.0617476     0.0625776    0.00268779      0.495531      0.991061     0.0407428       0.29306      0.040661   0.000590398             0             0      0.111128      0.232783      0.162027       1.60743       1.60743      0.138892      0.207592      0.131873       1.95243       1.95111   0.000703249
   0.000828231     0.0616003     0.0624285    0.00268733      0.495525      0.991051     0.0406997      0.293055     0.0406177   0.000588296   7.34966e-14             0      0.110996      0.232868      0.162154        1.6062        1.6062      0.138847      0.207615      0.131906       1.95219       1.94844   0.000701791
   0.000828282     0.0616031     0.0624313    0.00268734      0.495526      0.991053     0.0407009      0.293055      0.040619   0.000588346   4.67021e-15             0      0.110998      0.232867      0.162151       1.60622       1.60622      0.138844      0.207623      0.131911       1.95181       1.95182   0.000701814
   0.000828282     0.0616031     0.0624313    0.00268734      0.495526      0.991053     0.0407009      0.293055      0.040619   0.000588346             0             0      0.110998      0.232867      0.162151       1.60622       1.60622      0.138844      0.207623      0.131911       1.95181       1.95181   0.000701814
   0.000828282     0.0616031     0.0624313    0.00268734      0.495526      0.991053     0.0407009      0.293055      0.040619   0.000588346             0             0      0.110998      0.232867      0.162151       1.60622       1.60622      0.138844      0.207623      0.131911       1.95181       1.95181   0.000701814
