-4.995951676967291255e-01, -4.992843007878800532e-01, -6.005395646951889224e-14
-4.983811042854883189e-01, -4.971379648474846258e-01, -3.801242069702419160e-12
-4.963591096904823585e-01, -4.935633082970408703e-01, -4.170417813922804558e-11
-4.935313481489276288e-01, -4.885641082900800125e-01, -2.169182778362443855e-10
-4.899008434123001132e-01, -4.821457759928339804e-01, -7.271072460386301200e-10
-4.854714695378052336e-01, -4.743149738235377666e-01, -1.818724998499811431e-09
-4.802479352894640785e-01, -4.650801497692780839e-01, -3.688961111943755150e-09
-4.742357604606425303e-01, -4.544506996373722241e-01, -6.502266351049610099e-09
-4.674412435275315802e-01, -4.424380777876001369e-01, -1.040482028006437002e-08
-4.598714222952990371e-01, -4.290542746777040173e-01, -1.578345796711261260e-08
-4.515340329311097189e-01, -4.143136174273255867e-01, -2.296010329748416984e-08
-4.424374784409105255e-01, -3.982303880589890266e-01, -3.274880257214300963e-08
-4.325908255965194571e-01, -3.808214940855672581e-01, -4.537316861988544461e-08
-4.220038600252326022e-01, -3.621031588913107280e-01, -6.223749981966568360e-08
-4.106872427139914294e-01, -3.420944657254142429e-01, -8.341481020828018236e-08
-3.986528272560956321e-01, -3.208130186745149492e-01, -1.117529139780294615e-07
-3.859142139756714940e-01, -2.982789333385348907e-01, -1.484013188808112401e-07
-3.724876309137529207e-01, -2.745091370499552208e-01, -2.001152594813554058e-07
-3.583932353309831620e-01, -2.495202915957558110e-01, -2.760350666869983780e-07
-3.436569124589841651e-01, -2.233166745180292512e-01, -4.085295049329415898e-07
-3.283125973673555187e-01, -1.958765055040807002e-01, -6.785037608051951593e-07
-3.124050494013776436e-01, -1.670985561713461687e-01, -1.256678084839790483e-06
-2.959928631603346294e-01, -1.368025283580499851e-01, -2.078959858335852577e-06
-2.791513203247440456e-01, -1.053650151795688661e-01, -7.473755409102724607e-07
-2.619745130300128455e-01, -7.579454846721320194e-02, 7.783822290643667202e-06
-2.445760671338374215e-01, -5.275841066716992905e-02, 2.103434804732162757e-05
-2.270878366700382345e-01, -3.697598986980675517e-02, 3.092876708632882291e-05
-2.096561845899350962e-01, -2.609553346355986819e-02, 3.719423816611617921e-05
-1.924359042878611703e-01, -1.859172720913856991e-02, 4.140418805269095124e-05
-1.755823736864962070e-01, -1.317195152131493165e-02, 4.364127056063704332e-05
-1.592429982394590604e-01, -8.971300297446905408e-03, 4.532879624985057000e-05
-1.435492206109786617e-01, -6.054923115785467401e-03, 4.725677077220437198e-05
-1.286102547937738039e-01, -4.367471102949938878e-03, 4.853694603234337567e-05
-1.145092720657782392e-01, -3.256086710446450417e-03, 4.890226538796638422e-05
-1.013021790414842527e-01, -2.331991197720154323e-03, 4.921739629252300772e-05
