-1.18986471523215e-05,-0.000551727933483233,-0.000876806789712918,-0.00115118658474243,-0.00139770311372801,-0.0016204185733685,-0.00183146489271805,-0.00203119181576888,-0.00221868874394419,-0.002399299701313
-0.000638801587600927,-0.000772443026661036,-0.00100922996384696,-0.00124651521796091,-0.00147090121740352,-0.00168269320030908,-0.00188361627195538,-0.00207535293668282,-0.00225926842563193,-0.00243644347202829
-0.00101303349310786,-0.00107586813557875,-0.00122571733666061,-0.00140978528178886,-0.0016017375834469,-0.00179226881138249,-0.00197834632753309,-0.00215913335760709,-0.00233461525638434,-0.00250506783100775
-0.00132719467884357,-0.00136516539977659,-0.00146638117766048,-0.00160608969688714,-0.00176462901272318,-0.00193078778897525,-0.00209877172344356,-0.0022658105463914,-0.00243055461941211,-0.00259241409953801
-0.0016076680246328,-0.00163397404583727,-0.00170736272318295,-0.00181541881719363,-0.00194558265147021,-0.00208841113986712,-0.00223772447129924,-0.00238982892436553,-0.00254252774042619,-0.00269453879125655
-0.00186556930629298,-0.00188523338433701,-0.00194142493206489,-0.00202738394319643,-0.00213516085297151,-0.00225766253839885,-0.00238946281111968,-0.002526785818523,-0.00266708354123637,-0.00280866611563637
-0.00210666923143147,-0.00212214466198331,-0.00216699212021687,-0.00223722642710617,-0.00232768581168731,-0.00243323026979977,-0.0025494679115497,-0.00267298079898322,-0.00280122557697048,-0.00293235959094893
-0.00233467581911595,-0.00234730863690439,-0.00238423446911358,-0.00244293953164782,-0.00251996250975669,-0.00261159282914702,-0.00271439120982515,-0.00282544464830235,-0.00294241144463615,-0.00306347309255578
-0.00255206869619585,-0.00256265969294941,-0.00259379183381977,-0.00264379384454567,-0.00271027033197107,-0.00279051513416542,-0.00288186127191936,-0.0029818984957677,-0.00308856685862494,-0.00320017377399693
-0.00276058325062101,-0.00276964502868155,-0.00279638658988446,-0.00283965046484092,-0.00289772992591293,-0.00296861978834857,-0.00305024886455033,-0.00314064905295748,-0.00323805412605571,-0.00334094387525953
